Ranking,Prob_Fraude_%,Nivel_Risco,Cliente,Merchant,Categoria,Valor_R$,Motivos_Suspeita,Score_Regras,Media_Cliente_R$,Valor_Relativo_x,Taxa_Fraude_Merchant_%,Data_Analise
21,100.0,🔴 CRÍTICO,C775739646,M348934600,es_transportation,419.71,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.9x acima da média,2,47.12,8.90801407360527,81.9,2026-01-09 17:51
22,100.0,🔴 CRÍTICO,C1127069069,M348934600,es_transportation,894.46,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 15.3x acima da média,2,58.35,15.329813202697837,81.9,2026-01-09 17:51
23,100.0,🔴 CRÍTICO,C1163388474,M348934600,es_transportation,1078.75,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.3x acima da média,2,129.94,8.301780730619964,81.9,2026-01-09 17:51
24,100.0,🔴 CRÍTICO,C893276958,M348934600,es_transportation,618.6,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 13.2x acima da média,2,46.85,13.203624976772197,81.9,2026-01-09 17:51
25,100.0,🔴 CRÍTICO,C1445784416,M348934600,es_transportation,707.09,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 14.4x acima da média,2,49.26,14.35340998586629,83.9,2026-01-09 17:51
26,100.0,🔴 CRÍTICO,C454239699,M348934600,es_transportation,664.02,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 14.5x acima da média,2,45.77,14.5091874776844,81.9,2026-01-09 17:51
27,100.0,🔴 CRÍTICO,C1635613216,M1823072687,es_transportation,704.12,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 14.8x acima da média,2,47.62,14.786903224777426,81.9,2026-01-09 17:51
28,100.0,🔴 CRÍTICO,C914250073,M151143676,es_barsandrestaurants,620.91,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 13.4x acima da média,2,46.32,13.40411723493814,81.9,2026-01-09 17:51
29,100.0,🔴 CRÍTICO,C1969430351,M85975013,es_food,892.21,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 8.6x acima da média,2,104.34,8.550893947902678,22.77,2026-01-09 17:51
30,100.0,🔴 CRÍTICO,C871505790,M348934600,es_transportation,849.9,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 14.7x acima da média,2,57.9,14.678592664276751,81.9,2026-01-09 17:51
31,100.0,🔴 CRÍTICO,C1274818444,M348934600,es_transportation,8329.96,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 30.1x acima da média,2,276.63,30.11266402732177,83.4,2026-01-09 17:51
32,100.0,🔴 CRÍTICO,C448612141,M855959430,es_hyper,319.79,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 8.6x acima da média,2,37.31,8.570447426675502,92.97,2026-01-09 17:51
33,100.0,🔴 CRÍTICO,C658175205,M348934600,es_transportation,536.29,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.4x acima da média,2,56.96,9.416030033956105,81.9,2026-01-09 17:51
34,100.0,🔴 CRÍTICO,C1255236689,M348934600,es_transportation,611.33,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 13.0x acima da média,2,47.12,12.973620827791839,83.9,2026-01-09 17:51
35,100.0,🔴 CRÍTICO,C1857263556,M348934600,es_transportation,4265.41,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 27.3x acima da média,2,156.46,27.262188712137302,83.4,2026-01-09 17:51
36,100.0,🔴 CRÍTICO,C1489294793,M1823072687,es_transportation,3007.78,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 23.2x acima da média,2,129.47,23.231059824296796,83.4,2026-01-09 17:51
37,100.0,🔴 CRÍTICO,C1913127981,M348934600,es_transportation,2631.91,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 21.8x acima da média,2,120.65,21.81402619149341,83.4,2026-01-09 17:51
38,100.0,🔴 CRÍTICO,C545527660,M348934600,es_transportation,505.96,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 6.8x acima da média,2,74.42,6.79911598352787,81.9,2026-01-09 17:51
39,100.0,🔴 CRÍTICO,C648467088,M1823072687,es_transportation,546.52,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 12.9x acima da média,2,42.43,12.87967138798873,83.9,2026-01-09 17:51
40,100.0,🔴 CRÍTICO,C2058916086,M151143676,es_barsandrestaurants,2731.95,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 24.7x acima da média,2,110.68,24.683388644121358,83.4,2026-01-09 17:51
41,100.0,🔴 CRÍTICO,C1382187685,M348934600,es_transportation,745.65,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 11.3x acima da média,2,65.93,11.308889121812385,22.77,2026-01-09 17:51
42,100.0,🔴 CRÍTICO,C100992504,M1823072687,es_transportation,442.42,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.0x acima da média,2,49.31,8.971875253742121,81.9,2026-01-09 17:51
43,100.0,🔴 CRÍTICO,C377517197,M348934600,es_transportation,423.23,Valor acima do padrão do cliente | Merchant com histórico de fraudes (57.2%) | Valor 8.0x acima da média,2,52.89,8.002346639928938,57.24,2026-01-09 17:51
44,100.0,🔴 CRÍTICO,C1763371495,M348934600,es_transportation,433.81,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.0x acima da média,2,43.49,9.974019175655972,81.9,2026-01-09 17:51
45,100.0,🔴 CRÍTICO,C1988407051,M151143676,es_barsandrestaurants,646.83,Valor acima do padrão do cliente | Merchant com histórico de fraudes (10.4%) | Valor 9.6x acima da média,2,67.64,9.562874084079697,10.42,2026-01-09 17:51
46,99.99,🔴 CRÍTICO,C2109575612,M348934600,es_transportation,3427.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 14.6x acima da média,2,234.75,14.599002957093566,83.4,2026-01-09 17:51
47,99.99,🔴 CRÍTICO,C1657707912,M348934600,es_transportation,627.78,Valor acima do padrão do cliente | Merchant com histórico de fraudes (66.7%) | Valor 14.8x acima da média,2,42.5,14.772873756548057,66.67,2026-01-09 17:51
48,99.99,🔴 CRÍTICO,C1934785516,M1823072687,es_transportation,726.78,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 6.7x acima da média,2,108.17,6.719023674218008,64.57,2026-01-09 17:51
49,99.99,🔴 CRÍTICO,C132520837,M50039827,es_health,717.49,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 14.7x acima da média,2,48.68,14.739598927120676,81.9,2026-01-09 17:51
50,99.99,🔴 CRÍTICO,C408690006,M1823072687,es_transportation,4187.09,Score de risco elevado (3) | Múltiplas transações no mesmo período | Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 8.1x acima da média,3,515.7,8.119304427388585,83.4,2026-01-09 17:51
51,99.99,🔴 CRÍTICO,C1070471979,M1823072687,es_transportation,6110.23,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 19.1x acima da média,2,320.29,19.077301552315628,83.4,2026-01-09 17:51
52,99.99,🔴 CRÍTICO,C1750362802,M151143676,es_barsandrestaurants,4129.53,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 24.5x acima da média,2,168.32,24.534214460218365,83.4,2026-01-09 17:51
53,99.99,🔴 CRÍTICO,C1166355595,M348934600,es_transportation,4242.87,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 25.4x acima da média,2,167.23,25.371110299417115,83.4,2026-01-09 17:51
54,99.99,🔴 CRÍTICO,C1669649966,M1823072687,es_transportation,2761.61,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 25.0x acima da média,2,110.33,25.03123172604628,83.4,2026-01-09 17:51
55,99.99,🔴 CRÍTICO,C1557540123,M1400236507,es_home,2872.69,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 22.2x acima da média,2,129.53,22.17746509454602,83.4,2026-01-09 17:51
56,99.99,🔴 CRÍTICO,C1970738826,M348934600,es_transportation,2728.28,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 20.2x acima da média,2,134.98,20.211861456000026,83.4,2026-01-09 17:51
57,99.99,🔴 CRÍTICO,C601235628,M348934600,es_transportation,636.65,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 7.0x acima da média,2,91.17,6.982992351931176,83.9,2026-01-09 17:51
58,99.99,🔴 CRÍTICO,C102010508,M348934600,es_transportation,972.15,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 18.4x acima da média,2,52.92,18.369421740750575,64.57,2026-01-09 17:51
59,99.99,🔴 CRÍTICO,C660024200,M348934600,es_transportation,509.09,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 10.5x acima da média,2,48.68,10.457888034965324,64.57,2026-01-09 17:51
60,99.99,🔴 CRÍTICO,C914243510,M1823072687,es_transportation,446.35,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.7x acima da média,2,45.96,9.711969761754405,81.9,2026-01-09 17:51
61,99.99,🔴 CRÍTICO,C928481238,M1823072687,es_transportation,432.52,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.5x acima da média,2,45.4,9.52608519062665,81.9,2026-01-09 17:51
62,99.99,🔴 CRÍTICO,C743791359,M348934600,es_transportation,725.33,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 13.0x acima da média,2,55.96,12.96051053071084,64.57,2026-01-09 17:51
63,99.99,🔴 CRÍTICO,C1305339250,M85975013,es_food,443.77,Valor acima do padrão do cliente | Merchant com histórico de fraudes (70.7%) | Valor 9.9x acima da média,2,44.98,9.866405488495099,70.71,2026-01-09 17:51
64,99.99,🔴 CRÍTICO,C1731163929,M348934600,es_transportation,442.63,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.7x acima da média,2,45.83,9.658018158658244,81.9,2026-01-09 17:51
65,99.99,🔴 CRÍTICO,C1808964355,M348934600,es_transportation,437.75,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 9.0x acima da média,2,48.51,9.024610044589924,64.57,2026-01-09 17:51
66,99.99,🔴 CRÍTICO,C550190826,M348934600,es_transportation,601.55,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 12.4x acima da média,2,48.58,12.38373650503315,64.57,2026-01-09 17:51
67,99.99,🔴 CRÍTICO,C1085056650,M348934600,es_transportation,4031.69,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 12.6x acima da média,2,320.29,12.587703882743432,83.4,2026-01-09 17:51
68,99.99,🔴 CRÍTICO,C356750222,M348934600,es_transportation,2439.09,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 21.6x acima da média,2,112.86,21.611941760119247,83.4,2026-01-09 17:51
69,99.99,🔴 CRÍTICO,C1004300450,M348934600,es_transportation,3747.72,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 8.9x acima da média,2,422.55,8.869318247835139,83.4,2026-01-09 17:51
70,99.99,🔴 CRÍTICO,C1327124397,M1823072687,es_transportation,3763.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 24.3x acima da média,2,154.97,24.283220518604093,83.4,2026-01-09 17:51
71,99.99,🔴 CRÍTICO,C1412753123,M348934600,es_transportation,465.03,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.9x acima da média,2,52.33,8.887004040287971,81.9,2026-01-09 17:51
72,99.99,🔴 CRÍTICO,C1431362064,M1823072687,es_transportation,356.95,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.0x acima da média,2,35.61,10.023960222173416,81.9,2026-01-09 17:51
73,99.99,🔴 CRÍTICO,C914488986,M151143676,es_barsandrestaurants,342.08,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 8.7x acima da média,2,39.16,8.73513643515871,92.97,2026-01-09 17:51
74,99.99,🔴 CRÍTICO,C447271561,M348934600,es_transportation,362.97,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.2x acima da média,2,39.63,9.159878275957757,81.9,2026-01-09 17:51
75,99.99,🔴 CRÍTICO,C1379814778,M855959430,es_hyper,351.83,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.8x acima da média,2,40.21,8.750863884579053,81.9,2026-01-09 17:51
76,99.99,🔴 CRÍTICO,C1385115265,M348934600,es_transportation,418.04,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.3x acima da média,2,40.56,10.306628857803382,81.9,2026-01-09 17:51
77,99.99,🔴 CRÍTICO,C102364766,M348934600,es_transportation,653.93,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 12.9x acima da média,2,50.56,12.932462910462515,81.9,2026-01-09 17:51
78,99.99,🔴 CRÍTICO,C870367228,M1823072687,es_transportation,826.82,Valor acima do padrão do cliente | Merchant com histórico de fraudes (66.7%) | Valor 14.8x acima da média,2,55.87,14.798676345298269,66.67,2026-01-09 17:51
79,99.99,🔴 CRÍTICO,C1236503001,M1823072687,es_transportation,585.53,Merchant com histórico de fraudes (81.9%) | Valor 5.3x acima da média,1,110.41,5.30344683970108,81.9,2026-01-09 17:51
80,99.99,🔴 CRÍTICO,C1811749392,M1600850729,es_fashion,439.99,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.0x acima da média,2,48.74,9.027227717764282,81.9,2026-01-09 17:51
81,99.99,🔴 CRÍTICO,C1872482068,M348934600,es_transportation,2833.71,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 23.2x acima da média,2,121.89,23.248271162572347,83.4,2026-01-09 17:51
82,99.99,🔴 CRÍTICO,C1156188729,M348934600,es_transportation,2387.79,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 20.0x acima da média,2,119.12,20.045962251765086,83.4,2026-01-09 17:51
83,99.99,🔴 CRÍTICO,C1267365709,M1823072687,es_transportation,614.33,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 10.5x acima da média,2,58.26,10.544133757765808,64.57,2026-01-09 17:51
84,99.99,🔴 CRÍTICO,C1760612790,M348934600,es_transportation,996.32,Valor acima do padrão do cliente | Merchant com histórico de fraudes (70.7%) | Valor 17.2x acima da média,2,58.04,17.166369336748517,70.71,2026-01-09 17:51
85,99.99,🔴 CRÍTICO,C1240746302,M348934600,es_transportation,491.56,Valor acima do padrão do cliente | Merchant com histórico de fraudes (66.7%) | Valor 10.4x acima da média,2,47.24,10.40452780950114,66.67,2026-01-09 17:51
86,99.99,🔴 CRÍTICO,C78938440,M348934600,es_transportation,876.97,Valor acima do padrão do cliente | Merchant com histórico de fraudes (70.7%) | Valor 13.8x acima da média,2,63.4,13.831399191537763,70.71,2026-01-09 17:51
87,99.99,🔴 CRÍTICO,C1038879380,M348934600,es_transportation,276.51,Merchant com histórico de fraudes (95.7%),0,515.7,0.536188347328865,95.71,2026-01-09 17:51
88,99.99,🔴 CRÍTICO,C2145337724,M1823072687,es_transportation,582.45,Valor acima do padrão do cliente | Merchant com histórico de fraudes (80.0%) | Valor 13.6x acima da média,2,42.94,13.56519257689721,80.0,2026-01-09 17:51
89,99.99,🔴 CRÍTICO,C1097812196,M348934600,es_transportation,919.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 13.8x acima da média,2,66.78,13.769824348424974,81.9,2026-01-09 17:51
90,99.99,🔴 CRÍTICO,C338406777,M348934600,es_transportation,3667.95,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 23.6x acima da média,2,155.45,23.595738745145635,83.4,2026-01-09 17:51
91,99.99,🔴 CRÍTICO,C380911997,M348934600,es_transportation,406.58,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.3x acima da média,2,39.38,10.324675612143729,81.9,2026-01-09 17:51
92,99.99,🔴 CRÍTICO,C2084566155,M50039827,es_health,2135.69,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 22.1x acima da média,2,96.71,22.08289156896409,83.4,2026-01-09 17:51
93,99.99,🔴 CRÍTICO,C186769596,M348934600,es_transportation,539.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.6x acima da média,2,51.07,10.565473458074658,81.9,2026-01-09 17:51
94,99.99,🔴 CRÍTICO,C338456981,M348934600,es_transportation,617.16,Valor acima do padrão do cliente | Merchant com histórico de fraudes (30.2%) | Valor 12.2x acima da média,2,50.55,12.209774058179853,30.24,2026-01-09 17:51
95,99.99,🔴 CRÍTICO,C1506293914,M1823072687,es_transportation,696.1,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 13.6x acima da média,2,51.07,13.630311070485392,43.88,2026-01-09 17:51
96,99.99,🔴 CRÍTICO,C1299368401,M1823072687,es_transportation,787.19,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 15.0x acima da média,2,52.48,15.000761957680966,43.88,2026-01-09 17:51
97,99.99,🔴 CRÍTICO,C1781953799,M348934600,es_transportation,567.55,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 11.0x acima da média,2,51.64,10.991387445058058,83.9,2026-01-09 17:51
98,99.99,🔴 CRÍTICO,C249907687,M348934600,es_transportation,2168.62,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 22.3x acima da média,2,97.22,22.306019293700906,83.4,2026-01-09 17:51
99,99.99,🔴 CRÍTICO,C1491844959,M348934600,es_transportation,3084.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 8.1x acima da média,2,378.51,8.149089797772133,83.4,2026-01-09 17:51
100,99.99,🔴 CRÍTICO,C769422228,M348934600,es_transportation,3202.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 8.5x acima da média,2,378.51,8.459699641549186,83.4,2026-01-09 17:51
101,99.99,🔴 CRÍTICO,C1930258744,M348934600,es_transportation,917.98,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.3x acima da média,2,110.73,8.290079342914103,43.88,2026-01-09 17:51
102,99.99,🔴 CRÍTICO,C2126436338,M348934600,es_transportation,3066.05,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 19.0x acima da média,2,161.73,18.9581084636437,83.4,2026-01-09 17:51
103,99.99,🔴 CRÍTICO,C1530098029,M1823072687,es_transportation,428.5,Múltiplas transações no mesmo período | Merchant com histórico de fraudes (81.9%),1,515.7,0.8309164472547781,81.9,2026-01-09 17:51
104,99.99,🔴 CRÍTICO,C1125832994,M1649169323,es_sportsandtoys,376.0,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.2x acima da média,2,36.87,10.19826034949685,81.9,2026-01-09 17:51
105,99.99,🔴 CRÍTICO,C1081618305,M348934600,es_transportation,341.27,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.7x acima da média,2,39.4,8.661416280128874,81.9,2026-01-09 17:51
106,99.99,🔴 CRÍTICO,C1568358546,M348934600,es_transportation,315.79,Merchant com histórico de fraudes (81.9%),1,67.64,4.668707399179889,81.9,2026-01-09 17:51
107,99.99,🔴 CRÍTICO,C1263461120,M348934600,es_transportation,697.61,Merchant com histórico de fraudes (81.9%) | Valor 5.4x acima da média,1,129.94,5.368625961054732,81.9,2026-01-09 17:51
108,99.99,🔴 CRÍTICO,C1630887376,M348934600,es_transportation,2062.03,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 6.3x acima da média,2,325.81,6.328882221699334,83.4,2026-01-09 17:51
109,99.99,🔴 CRÍTICO,C984099618,M1823072687,es_transportation,392.69,Valor acima do padrão do cliente | Merchant com histórico de fraudes (66.7%) | Valor 9.1x acima da média,2,43.33,9.06277385038602,66.67,2026-01-09 17:51
110,99.99,🔴 CRÍTICO,C1450562088,M348934600,es_transportation,378.24,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.8x acima da média,2,38.52,9.819023064390757,81.9,2026-01-09 17:51
111,99.99,🔴 CRÍTICO,C223315547,M348934600,es_transportation,954.07,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 12.3x acima da média,2,77.49,12.312814666366853,43.88,2026-01-09 17:51
112,99.99,🔴 CRÍTICO,C1551083784,M1823072687,es_transportation,543.62,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.2x acima da média,2,66.06,8.22963847605898,81.9,2026-01-09 17:51
113,99.99,🔴 CRÍTICO,C725307945,M348934600,es_transportation,559.31,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.5x acima da média,2,65.85,8.493219971701055,81.9,2026-01-09 17:51
114,99.99,🔴 CRÍTICO,C1862384239,M348934600,es_transportation,4247.25,Merchant com histórico de fraudes (83.4%) | Valor 6.4x acima da média,1,660.17,6.433602615854174,83.4,2026-01-09 17:51
115,99.99,🔴 CRÍTICO,C869807132,M480139044,es_health,4308.89,Merchant com histórico de fraudes (83.4%) | Valor 6.5x acima da média,1,660.17,6.526972976732685,83.4,2026-01-09 17:51
116,99.99,🔴 CRÍTICO,C1928450094,M85975013,es_food,491.35,Merchant com histórico de fraudes (81.9%),0,515.7,0.9527906566129176,81.9,2026-01-09 17:51
117,99.99,🔴 CRÍTICO,C477595630,M1823072687,es_transportation,405.49,Valor acima do padrão do cliente | Merchant com histórico de fraudes (70.7%) | Valor 10.4x acima da média,2,38.87,10.43225060348106,70.71,2026-01-09 17:51
118,99.99,🔴 CRÍTICO,C1166355595,M348934600,es_transportation,408.36,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.5x acima da média,2,43.05,9.486081315898844,81.9,2026-01-09 17:51
119,99.99,🔴 CRÍTICO,C908718101,M692898500,es_health,3746.14,Score de risco elevado (3) | Múltiplas transações no mesmo período | Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 12.4x acima da média,3,302.7,12.375676215150422,83.4,2026-01-09 17:51
120,99.99,🔴 CRÍTICO,C722399783,M1823072687,es_transportation,412.45,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 10.9x acima da média,2,37.83,10.901325249494427,83.9,2026-01-09 17:51
